addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Supermarket | Αμύρου 8,Sklavenitis,Αγιά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.7191,22.75468,Sklavenitis Αγιά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",249 402 3799,400 03,1004,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Γκινοσάτη & Αριστείδου,Sklavenitis,Κορωπί,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.90713,23.87483,Sklavenitis Κορωπί,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 662 0725,194 00,740,Αττικής,https://www.sklavenitis.gr/about/katastimata
Self-service  |  Δημητρακοπούλου 72,Sklavenitis,Κουκάκι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.96417,23.72389,Sklavenitis Κουκάκι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 921 3043,117 41,900,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket | Επαρχιακή Οδός Κρανιδίου-Λυγουριού,Sklavenitis,Κρανίδι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.39682,23.15601,Sklavenitis Κρανίδι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",275 402 1350,213 00,1018,Αργολίδας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Ε.Ο. Κυπαρισσίας–Πύργου (θέση Καρτελάς),Sklavenitis,Κυπαρισσία,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.26204,21.68639,Sklavenitis Κυπαρισσία,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",276 102 5741,245 00,668,Μεσσηνίας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Φαιδριάδων & Αμφιτρίτης 18,Sklavenitis,Κυψέλη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00654,23.74769,Sklavenitis Κυψέλη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 861 4713,113 64,941,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αγ. Μελετίου 6,Sklavenitis,Κυψέλη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.9996,23.73824,Sklavenitis Κυψέλη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 821 1293,113 61,818,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Βελβενδού 25,Sklavenitis,Κυψέλη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.00284,23.74453,Sklavenitis Κυψέλη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 866 1177,113 64,912,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Θέση Μαρμαρωτό,Sklavenitis,Κως,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",36.88299,27.24212,Sklavenitis Κως,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",224 202 7352,853 00,617,Δωδεκανήσου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  12ο χλμ. Επαρχιακής Οδού Θεσσαλονίκης–Λαγκαδά,Sklavenitis,Λαγκαδάς,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",40.73788,23.04113,Sklavenitis Λαγκαδάς,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","239 402 0463, ",572 00,700,Θεσσαλονίκης,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Καποδιστρίου 21,Sklavenitis,Λαμία,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.89996,22.43585,Sklavenitis Λαμία,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","223 105 3122, ",351 00,786,Φθιώτιδας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Αθηνών & Ολύμπου,Sklavenitis,Λαμία,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.89264,22.43849,Sklavenitis Λαμία,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","223 102 5077, ",351 00,925,Φθιώτιδας,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Στυλίδος & Δημοτική,Sklavenitis,Λαμία,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.89934,22.44908,Sklavenitis Λαμία,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","223 105 0385, ",351 00,640,Φθιώτιδας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Τράλλεων & Ολοφύτου 26,Sklavenitis,Λαμπρινή,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.0244,23.74298,Sklavenitis Λαμπρινή,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 293 3150,176 75,853,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket | Καραθάνου 11-13,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.63342,22.40909,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 061 6082,412 22,1008,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Παναγούλη 83 & Τσιμισκή,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.63257,22.41923,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 023 7026,412 23,796,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  3ο χλμ. Ε.Ο. Λάρισας–Τυρνάβου,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.65822,22.40426,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 056 3400,415 00,558,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Γ. Παπανδρέου 17 & Μουσών (συνοικία Νεαπόλεως),Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.62063,22.40198,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 067 1240,413 34,769,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket | Παπακυριαζή 65 & Φαρμακίδου,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.6371,22.41217,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 025 9724,412 22,1002,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket | Δημοσθένους 1 & Αγαμέμνονος,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.65102,22.43293,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 028 6542,413 36,1003,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket | Ιωαννίνων 122,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.63267,22.3959,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 061 5444,412 22,1005,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket | Υψηλάντου 55-57,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.63476,22.42499,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 028 7301,412 23,1006,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Freshmarket | Ζωοδόχου Πηγής 46,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.64459,22.41668,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",241 053 6444,414 47,1007,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket |  Ηρώων Πολυτεχνείου & Αγιάς,Sklavenitis,Λάρισα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",39.64136,22.42969,Sklavenitis Λάρισα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","241 055 1939, ",412 21,660,Λάρισας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Πλατεία Λαυρίου (όπισθεν αγάλματος Σερπιέρη),Sklavenitis,Λαύριο,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.71673,24.05484,Sklavenitis Λαύριο,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",22920 25319,195 00,954,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Περιφερειακή Οδός Νυδρίου (περιοχή Άγιος Αντώνιος),Sklavenitis,Λευκάδα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.82655,20.70233,Sklavenitis Λευκάδα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",264 502 6663,311 00,939,Λευκάδας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Φιλοσόφων & Α. Τζεβελέκη,Sklavenitis,Λευκάδα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.82543,20.71141,Sklavenitis Λευκάδα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",264 502 6729,311 00,767,Λευκάδας,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Δελφών, Ορχομενού & Αρκαδίου",Sklavenitis,Λιβαδειά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.43989,22.87074,Sklavenitis Λιβαδειά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",226 108 9436,321 00,674,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Αισχύλου, Άγιος Μελέτιος",Sklavenitis,Λιβαδειά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.44153,22.89469,Sklavenitis Λιβαδειά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","226 108 0003, ",321 00,612,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
"Supermarket  |  Ρούμελης, Ερκύνης & Φίλωνος",Sklavenitis,Λιβαδειά,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.44351,22.87845,Sklavenitis Λιβαδειά,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",226 108 1260,321 00,926,Βοιωτίας,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Ελ. Βενιζέλου & Μιαούλη,Sklavenitis,Λουτράκι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.97765,22.97728,Sklavenitis Λουτράκι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",274 406 7900,203 00,957,Κορίνθου,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Αμαρουσίου 23 & Λελ. Καραγιάννη,Sklavenitis,Λυκόβρυση,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.06304,23.78123,Sklavenitis Λυκόβρυση,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 284 8188,141 23,837,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket | Μυρρινούντος 21 & Λεωφ. Σουνίου,Sklavenitis,Μαρκόπουλο Μεσόγαιας,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.879482,23.933231,Sklavenitis Μαρκόπουλο Μεσόγαιας,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",229 904 1380,190 03,1000,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Πόρτο Ράφτη & 28ης Οκτωβρίου,Sklavenitis,Μαρκόπουλο Μεσόγαιας,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.88756,23.94196,Sklavenitis Μαρκόπουλο Μεσόγαιας,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",229 904 9475,190 03,728,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Θησέως 1-3,Sklavenitis,Μαρούσι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.05504,23.80368,Sklavenitis Μαρούσι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 614 3940,151 24,953,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Α. Παπανδρέου 35 (The Mall),Sklavenitis,Μαρούσι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.04537,23.7907,Sklavenitis Μαρούσι,"{'opening_hours': {'Mon': '10:00-21:00', 'Tue': '10:00-21:00', 'Wed': '10:00-21:00', 'Thu': '10:00-21:00', 'Fri': '10:00-21:00', 'Sat': '10:00-20:00', 'Sun': 'Closed'}}","210 630 0050, ",151 22,750,Αττικής,https://www.sklavenitis.gr/about/katastimata
Hypermarket  |  Λεωφ. Κηφισίας 41-43 (Εμπορικό Κέντρο Avenue),Sklavenitis,Μαρούσι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.0355,23.7969,Sklavenitis Μαρούσι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 616 1861,151 23,556,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Χειμάρας 3,Sklavenitis,Μαρούσι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.04058,23.80621,Sklavenitis Μαρούσι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 619 8746, ",151 25,606,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Θ. Καρασούλου & Μαινάλου,Sklavenitis,Μεγαλόπολη,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.39763,22.12924,Sklavenitis Μεγαλόπολη,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",279 102 7044,222 00,963,Αρκαδίας,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  28ης Οκτωβρίου 187,Sklavenitis,Μέγαρα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99036,23.33822,Sklavenitis Μέγαρα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","229 608 9275, ",191 00,788,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Π.Ε.Ο. Αθηνών–Κορίνθου,Sklavenitis,Μέγαρα,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",37.99867,23.35309,Sklavenitis Μέγαρα,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","229 602 5295, ",191 00,922,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Ελ. Βενιζέλου 16 & Σουλίου,Sklavenitis,Μελίσσια,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.05443,23.83897,Sklavenitis Μελίσσια,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 613 2818, ",151 27,836,Αττικής,https://www.sklavenitis.gr/about/katastimata
Freshmarket  |  Φιλαδελφείας 40,Sklavenitis,Μενίδι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.07748,23.73913,Sklavenitis Μενίδι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 244 7575,136 71,968,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket  |  Λεωφ. Πάρνηθας 187,Sklavenitis,Μενίδι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.09553,23.73874,Sklavenitis Μενίδι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}",210 247 7750,136 74,790,Αττικής,https://www.sklavenitis.gr/about/katastimata
Supermarket +  |  Λεωφ. Καραμανλή 97 & Ι. Θεολόγου,Sklavenitis,Μενίδι,Greece,"{'brand': 'sklavenitis', 'fascia': 'sklavenitis', 'category': 'Retail', 'edit_date': '2025-05-10', 'lat_lon_source': 'Website'}",38.09611,23.75,Sklavenitis Μενίδι,"{'opening_hours': {'Mon': '08:00-21:00', 'Tue': '08:00-21:00', 'Wed': '08:00-21:00', 'Thu': '08:00-21:00', 'Fri': '08:00-21:00', 'Sat': '08:00-20:00', 'Sun': 'Closed'}}","210 247 7590, ",136 72,860,Αττικής,https://www.sklavenitis.gr/about/katastimata
